"id","name","types","height","weight","abilities","egg_groups","stats","genus","description"
118,"Goldeen","[""water""]",6.00,150.00,"[""lightning-rod"", ""water-veil"", ""swift-swim""]","[""water2""]","{""hp"": 45, ""speed"": 63, ""attack"": 67, ""defense"": 60, ""special-attack"": 35, ""special-defense"": 50}","Goldfish PokÃ©mon","Spellbound by the length of its horn and the
beauty of its fins, many strange Trainers raise
Goldeen and nothing but Goldeen."
119,"Seaking","[""water""]",13.00,390.00,"[""lightning-rod"", ""water-veil"", ""swift-swim""]","[""water2""]","{""hp"": 80, ""speed"": 68, ""attack"": 92, ""defense"": 65, ""special-attack"": 65, ""special-defense"": 80}","Goldfish PokÃ©mon","Trainers who are crazy for Seaking are divided
into horn enthusiasts and fin enthusiasts.
The two groups do not get along well."
120,"Staryu","[""water""]",8.00,345.00,"[""analytic"", ""natural-cure"", ""illuminate""]","[""water3""]","{""hp"": 30, ""speed"": 85, ""attack"": 45, ""defense"": 55, ""special-attack"": 70, ""special-defense"": 55}","Star Shape PokÃ©mon","This PokÃ©mon gets nibbled on by Lumineon and
others. Thanks to its red core, it regenerates
fast, so itâ€™s unconcerned by their snack attacks."
121,"Starmie","[""psychic"", ""water""]",11.00,800.00,"[""analytic"", ""natural-cure"", ""illuminate""]","[""water3""]","{""hp"": 60, ""speed"": 115, ""attack"": 75, ""defense"": 85, ""special-attack"": 100, ""special-defense"": 85}","Mysterious PokÃ©mon","Its unusual body shape, reminiscent of abstract
art, led local people to spread rumors that this
PokÃ©mon may be an invader from outer space."
122,"Mr. Mime","[""fairy"", ""psychic""]",13.00,545.00,"[""technician"", ""filter"", ""soundproof""]","[""humanshape""]","{""hp"": 40, ""speed"": 90, ""attack"": 45, ""defense"": 65, ""special-attack"": 100, ""special-defense"": 120}","Barrier PokÃ©mon","Mr. Mime is a master of pantomime. Its gestures and motions
convince watchers that something unseeable actually exists.
Once the watchers are convinced, the unseeable thing exists
as if it were real."
123,"Scyther","[""flying"", ""bug""]",15.00,560.00,"[""steadfast"", ""technician"", ""swarm""]","[""bug""]","{""hp"": 70, ""speed"": 105, ""attack"": 110, ""defense"": 80, ""special-attack"": 55, ""special-defense"": 80}","Mantis PokÃ©mon","While young, they live together deep in the
mountains, training themselves in how to fight
with their scythes and move at high speeds."
124,"Jynx","[""psychic"", ""ice""]",14.00,406.00,"[""dry-skin"", ""forewarn"", ""oblivious""]","[""humanshape""]","{""hp"": 65, ""speed"": 95, ""attack"": 50, ""defense"": 35, ""special-attack"": 115, ""special-defense"": 95}","Human Shape PokÃ©mon","Jynx walks rhythmically, swaying and shaking its hips
as if it were dancing. Its motions are so bouncingly alluring,
people seeing it are compelled to shake their hips without
giving any thought to what they are doing."
125,"Electabuzz","[""electric""]",11.00,300.00,"[""vital-spirit"", ""static""]","[""humanshape""]","{""hp"": 65, ""speed"": 105, ""attack"": 83, ""defense"": 57, ""special-attack"": 95, ""special-defense"": 85}","Electric PokÃ©mon","Electricity leaks from it in amounts far greater
than the amount of electricity it eats."
126,"Magmar","[""fire""]",13.00,445.00,"[""vital-spirit"", ""flame-body""]","[""humanshape""]","{""hp"": 65, ""speed"": 93, ""attack"": 95, ""defense"": 57, ""special-attack"": 100, ""special-defense"": 85}","Spitfire PokÃ©mon","When angered, it spouts brilliant fire from all
over its body. It doesnâ€™t calm down until its
opponent has burned to ash."
127,"Pinsir","[""bug""]",15.00,550.00,"[""moxie"", ""mold-breaker"", ""hyper-cutter""]","[""bug""]","{""hp"": 65, ""speed"": 85, ""attack"": 125, ""defense"": 100, ""special-attack"": 55, ""special-defense"": 70}","Stag Beetle PokÃ©mon","One solid blow from its horns is enough to split
apart a large tree. Its greatest rival in Alola
is Vikavolt."
128,"Tauros","[""normal""]",14.00,884.00,"[""sheer-force"", ""anger-point"", ""intimidate""]","[""ground""]","{""hp"": 75, ""speed"": 110, ""attack"": 100, ""defense"": 95, ""special-attack"": 40, ""special-defense"": 70}","Wild Bull PokÃ©mon","Although itâ€™s known to be a fierce PokÃ©mon,
Tauros in the Alola region are said to possess
a measure of calmness."
129,"Magikarp","[""water""]",9.00,100.00,"[""rattled"", ""swift-swim""]","[""dragon"", ""water2""]","{""hp"": 20, ""speed"": 80, ""attack"": 10, ""defense"": 55, ""special-attack"": 15, ""special-defense"": 20}","Fish PokÃ©mon","Its reckless leaps make it easy pickings for
predators. On the bright side, many PokÃ©mon
enjoy longer life spans, thanks to Magikarp."
130,"Gyarados","[""flying"", ""water""]",65.00,2350.00,"[""moxie"", ""intimidate""]","[""dragon"", ""water2""]","{""hp"": 95, ""speed"": 81, ""attack"": 125, ""defense"": 79, ""special-attack"": 60, ""special-defense"": 100}","Atrocious PokÃ©mon","There are people who swear that any place
Gyarados appears is fated for destruction."
131,"Lapras","[""ice"", ""water""]",25.00,2200.00,"[""hydration"", ""shell-armor"", ""water-absorb""]","[""water1"", ""monster""]","{""hp"": 130, ""speed"": 60, ""attack"": 85, ""defense"": 80, ""special-attack"": 85, ""special-defense"": 95}","Transport PokÃ©mon","These PokÃ©mon were once near extinction due
to poaching. Following protective regulations,
there is now an overabundance of them."
132,"Ditto","[""normal""]",3.00,40.00,"[""imposter"", ""limber""]","[""ditto""]","{""hp"": 48, ""speed"": 48, ""attack"": 48, ""defense"": 48, ""special-attack"": 48, ""special-defense"": 48}","Transform PokÃ©mon","With its astonishing capacity for
metamorphosis, it can get along with anything.
It does not get along well with its fellow Ditto."
133,"Eevee","[""normal""]",3.00,65.00,"[""anticipation"", ""adaptability"", ""run-away""]","[""ground""]","{""hp"": 55, ""speed"": 55, ""attack"": 55, ""defense"": 50, ""special-attack"": 45, ""special-defense"": 65}","Evolution PokÃ©mon","Current studies show it can evolve into an
incredible eight different species of PokÃ©mon."
134,"Vaporeon","[""water""]",10.00,290.00,"[""hydration"", ""water-absorb""]","[""ground""]","{""hp"": 130, ""speed"": 65, ""attack"": 65, ""defense"": 60, ""special-attack"": 110, ""special-defense"": 95}","Bubble Jet PokÃ©mon","Blending in with the water and erasing all signs
of its presence, it patiently waits for its prey,
fish PokÃ©mon."
135,"Jolteon","[""electric""]",8.00,245.00,"[""quick-feet"", ""volt-absorb""]","[""ground""]","{""hp"": 65, ""speed"": 130, ""attack"": 65, ""defense"": 60, ""special-attack"": 110, ""special-defense"": 95}","Lightning PokÃ©mon","When its fur stands on end, thatâ€™s a sign itâ€™s
about to give off a jolt of electricity. Take care,
as sometimes lightning strikes next to it, too."
136,"Flareon","[""fire""]",9.00,250.00,"[""guts"", ""flash-fire""]","[""ground""]","{""hp"": 65, ""speed"": 65, ""attack"": 130, ""defense"": 60, ""special-attack"": 95, ""special-defense"": 110}","Flame PokÃ©mon","Its average body temperature is between 1,300
and 1,500 degrees Fahrenheit. In its internal
flame sac, temperatures reach 3,000 degrees."
137,"Porygon","[""normal""]",8.00,365.00,"[""analytic"", ""download"", ""trace""]","[""mineral""]","{""hp"": 65, ""speed"": 40, ""attack"": 60, ""defense"": 70, ""special-attack"": 85, ""special-defense"": 75}","Virtual PokÃ©mon","It can convert its body into digital data,
which enables it to enter cyberspace."
138,"Omanyte","[""water"", ""rock""]",4.00,75.00,"[""weak-armor"", ""shell-armor"", ""swift-swim""]","[""water3"", ""water1""]","{""hp"": 35, ""speed"": 35, ""attack"": 40, ""defense"": 100, ""special-attack"": 90, ""special-defense"": 55}","Spiral PokÃ©mon","Omanyte is one of the ancient and long-since-extinct PokÃ©mon
that have been regenerated from fossils by people. If attacked
by an enemy, it withdraws itself inside its hard shell."
139,"Omastar","[""water"", ""rock""]",10.00,350.00,"[""weak-armor"", ""shell-armor"", ""swift-swim""]","[""water3"", ""water1""]","{""hp"": 70, ""speed"": 55, ""attack"": 60, ""defense"": 125, ""special-attack"": 115, ""special-defense"": 70}","Spiral PokÃ©mon","Omastar uses its tentacles to capture its prey. It is
believed to have become extinct because its shell grew too
large and heavy, causing its movements to become too slow
and ponderous."
140,"Kabuto","[""water"", ""rock""]",5.00,115.00,"[""weak-armor"", ""battle-armor"", ""swift-swim""]","[""water3"", ""water1""]","{""hp"": 30, ""speed"": 55, ""attack"": 80, ""defense"": 90, ""special-attack"": 55, ""special-defense"": 45}","Shellfish PokÃ©mon","Kabuto is a PokÃ©mon that has been regenerated from a fossil.
However, in extremely rare cases, living examples have
been discovered. The PokÃ©mon has not changed at all for
300 million years."
141,"Kabutops","[""water"", ""rock""]",13.00,405.00,"[""weak-armor"", ""battle-armor"", ""swift-swim""]","[""water3"", ""water1""]","{""hp"": 60, ""speed"": 80, ""attack"": 115, ""defense"": 105, ""special-attack"": 65, ""special-defense"": 70}","Shellfish PokÃ©mon","Kabutops swam underwater to hunt for its prey in ancient
times. The PokÃ©mon was apparently evolving from being a
water dweller to living on land as evident from the beginnings
of change in its gills and legs."
142,"Aerodactyl","[""flying"", ""rock""]",18.00,590.00,"[""unnerve"", ""pressure"", ""rock-head""]","[""flying""]","{""hp"": 80, ""speed"": 130, ""attack"": 105, ""defense"": 65, ""special-attack"": 60, ""special-defense"": 75}","Fossil PokÃ©mon","In ancient times, it ruled the skies. A widely
accepted theory is that it went extinct due to
a large meteor impact."
143,"Snorlax","[""normal""]",21.00,4600.00,"[""gluttony"", ""thick-fat"", ""immunity""]","[""monster""]","{""hp"": 160, ""speed"": 30, ""attack"": 110, ""defense"": 65, ""special-attack"": 65, ""special-defense"": 110}","Sleeping PokÃ©mon","It eats nearly 900 pounds of food every day.
It starts nodding off while eatingâ€”and continues
to eat even while itâ€™s asleep."
144,"Articuno","[""flying"", ""ice""]",17.00,554.00,"[""snow-cloak"", ""pressure""]","[""no-eggs""]","{""hp"": 90, ""speed"": 85, ""attack"": 85, ""defense"": 100, ""special-attack"": 95, ""special-defense"": 125}","Freeze PokÃ©mon","Articuno is a legendary bird PokÃ©mon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this PokÃ©mon flies, snow will fall."
145,"Zapdos","[""flying"", ""electric""]",16.00,526.00,"[""static"", ""pressure""]","[""no-eggs""]","{""hp"": 90, ""speed"": 100, ""attack"": 90, ""defense"": 85, ""special-attack"": 125, ""special-defense"": 90}","Electric PokÃ©mon","Zapdos is a legendary bird PokÃ©mon that has the ability
to control electricity. It usually lives in thunderclouds.
The PokÃ©mon gains power if it is stricken by lightning bolts."
146,"Moltres","[""flying"", ""fire""]",20.00,600.00,"[""flame-body"", ""pressure""]","[""no-eggs""]","{""hp"": 90, ""speed"": 90, ""attack"": 100, ""defense"": 90, ""special-attack"": 125, ""special-defense"": 85}","Flame PokÃ©mon","Moltres is a legendary bird PokÃ©mon that has the ability
to control fire. If this PokÃ©mon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself."
147,"Dratini","[""dragon""]",18.00,33.00,"[""marvel-scale"", ""shed-skin""]","[""dragon"", ""water1""]","{""hp"": 41, ""speed"": 50, ""attack"": 64, ""defense"": 45, ""special-attack"": 50, ""special-defense"": 50}","Dragon PokÃ©mon","After a 10-hour struggle, a fisherman was able
to pull one up and confirm its existence."
148,"Dragonair","[""dragon""]",40.00,165.00,"[""marvel-scale"", ""shed-skin""]","[""dragon"", ""water1""]","{""hp"": 61, ""speed"": 70, ""attack"": 84, ""defense"": 65, ""special-attack"": 70, ""special-defense"": 70}","Dragon PokÃ©mon","From time immemorial, it has been venerated by
agricultural peoples as an entity able to control
the weather."
149,"Dragonite","[""flying"", ""dragon""]",22.00,2100.00,"[""multiscale"", ""inner-focus""]","[""dragon"", ""water1""]","{""hp"": 91, ""speed"": 80, ""attack"": 134, ""defense"": 95, ""special-attack"": 100, ""special-defense"": 100}","Dragon PokÃ©mon","Incur the wrath of this normally calm PokÃ©mon
at your peril, because it will smash everything
to smithereens before itâ€™s satisfied."
150,"Mewtwo","[""psychic""]",20.00,1220.00,"[""unnerve"", ""pressure""]","[""no-eggs""]","{""hp"": 106, ""speed"": 130, ""attack"": 110, ""defense"": 90, ""special-attack"": 154, ""special-defense"": 90}","Genetic PokÃ©mon","Mewtwo is a PokÃ©mon that was created by genetic
manipulation. However, even though the scientific power
of humans created this PokÃ©monâ€™s body, they failed to
endow Mewtwo with a compassionate heart."
151,"Mew","[""psychic""]",4.00,40.00,"[""synchronize""]","[""no-eggs""]","{""hp"": 100, ""speed"": 100, ""attack"": 100, ""defense"": 100, ""special-attack"": 100, ""special-defense"": 100}","New Species PokÃ©mon","Mew is said to possess the genetic composition of all
PokÃ©mon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people."
152,"Chikorita","[""grass""]",9.00,64.00,"[""leaf-guard"", ""overgrow""]","[""plant"", ""monster""]","{""hp"": 45, ""speed"": 45, ""attack"": 49, ""defense"": 65, ""special-attack"": 49, ""special-defense"": 65}","Leaf PokÃ©mon","In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling PokÃ©mon and creating a cozy,
friendly atmosphere all around."
153,"Bayleef","[""grass""]",12.00,158.00,"[""leaf-guard"", ""overgrow""]","[""plant"", ""monster""]","{""hp"": 60, ""speed"": 60, ""attack"": 62, ""defense"": 80, ""special-attack"": 63, ""special-defense"": 80}","Leaf PokÃ©mon","Bayleefâ€™s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy."
154,"Meganium","[""grass""]",18.00,1005.00,"[""leaf-guard"", ""overgrow""]","[""plant"", ""monster""]","{""hp"": 80, ""speed"": 80, ""attack"": 82, ""defense"": 100, ""special-attack"": 83, ""special-defense"": 100}","Herb PokÃ©mon","The fragrance of Meganiumâ€™s flower soothes and calms
emotions. In battle, this PokÃ©mon gives off more of its
becalming scent to blunt the foeâ€™s fighting spirit."
155,"Cyndaquil","[""fire""]",5.00,79.00,"[""flash-fire"", ""blaze""]","[""ground""]","{""hp"": 39, ""speed"": 65, ""attack"": 52, ""defense"": 43, ""special-attack"": 60, ""special-defense"": 50}","Fire Mouse PokÃ©mon","Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the PokÃ©mon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion."
156,"Quilava","[""fire""]",9.00,190.00,"[""flash-fire"", ""blaze""]","[""ground""]","{""hp"": 58, ""speed"": 80, ""attack"": 64, ""defense"": 58, ""special-attack"": 80, ""special-defense"": 65}","Volcano PokÃ©mon","Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This PokÃ©mon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames."
157,"Typhlosion","[""fire""]",17.00,795.00,"[""flash-fire"", ""blaze""]","[""ground""]","{""hp"": 78, ""speed"": 100, ""attack"": 84, ""defense"": 78, ""special-attack"": 109, ""special-defense"": 85}","Volcano PokÃ©mon","Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This PokÃ©mon creates
blazing explosive blasts that burn everything to cinders."
158,"Totodile","[""water""]",6.00,95.00,"[""sheer-force"", ""torrent""]","[""water1"", ""monster""]","{""hp"": 50, ""speed"": 43, ""attack"": 65, ""defense"": 64, ""special-attack"": 44, ""special-defense"": 48}","Big Jaw PokÃ©mon","Despite the smallness of its body, Totodileâ€™s jaws are very
powerful. While the PokÃ©mon may think it is just playfully
nipping, its bite has enough power to cause serious injury."
159,"Croconaw","[""water""]",11.00,250.00,"[""sheer-force"", ""torrent""]","[""water1"", ""monster""]","{""hp"": 65, ""speed"": 58, ""attack"": 80, ""defense"": 80, ""special-attack"": 59, ""special-defense"": 63}","Big Jaw PokÃ©mon","Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in."
160,"Feraligatr","[""water""]",23.00,888.00,"[""sheer-force"", ""torrent""]","[""water1"", ""monster""]","{""hp"": 85, ""speed"": 78, ""attack"": 105, ""defense"": 100, ""special-attack"": 79, ""special-defense"": 83}","Big Jaw PokÃ©mon","Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed."
161,"Sentret","[""normal""]",8.00,60.00,"[""frisk"", ""keen-eye"", ""run-away""]","[""ground""]","{""hp"": 35, ""speed"": 20, ""attack"": 46, ""defense"": 34, ""special-attack"": 35, ""special-defense"": 45}","Scout PokÃ©mon","When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this PokÃ©mon becomes separated from its pack, it becomes
incapable of sleep due to fear."
162,"Furret","[""normal""]",18.00,325.00,"[""frisk"", ""keen-eye"", ""run-away""]","[""ground""]","{""hp"": 85, ""speed"": 90, ""attack"": 76, ""defense"": 64, ""special-attack"": 45, ""special-defense"": 55}","Long Body PokÃ©mon","Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this PokÃ©mon is very nimble and fleet."
163,"Hoothoot","[""flying"", ""normal""]",7.00,212.00,"[""tinted-lens"", ""keen-eye"", ""insomnia""]","[""flying""]","{""hp"": 60, ""speed"": 50, ""attack"": 30, ""defense"": 30, ""special-attack"": 36, ""special-defense"": 56}","Owl PokÃ©mon","Hoothoot has an internal organ that senses and tracks the
earthâ€™s rotation. Using this special organ, this PokÃ©mon
begins hooting at precisely the same time every day."
164,"Noctowl","[""flying"", ""normal""]",16.00,408.00,"[""tinted-lens"", ""keen-eye"", ""insomnia""]","[""flying""]","{""hp"": 100, ""speed"": 70, ""attack"": 50, ""defense"": 50, ""special-attack"": 86, ""special-defense"": 96}","Owl PokÃ©mon","Noctowl never fails at catching prey in darkness. This PokÃ©mon
owes its success to its superior vision that allows it to see in
minimal light, and to its soft, supple wings that make no sound
in flight."
165,"Ledyba","[""flying"", ""bug""]",10.00,108.00,"[""rattled"", ""early-bird"", ""swarm""]","[""bug""]","{""hp"": 40, ""speed"": 55, ""attack"": 20, ""defense"": 30, ""special-attack"": 40, ""special-defense"": 80}","Five Star PokÃ©mon","They communicate with one another using bodily
fluids that give off odors. When theyâ€™re angry,
their odor smells sour."
166,"Ledian","[""flying"", ""bug""]",14.00,356.00,"[""iron-fist"", ""early-bird"", ""swarm""]","[""bug""]","{""hp"": 55, ""speed"": 85, ""attack"": 35, ""defense"": 50, ""special-attack"": 55, ""special-defense"": 110}","Five Star PokÃ©mon","In battle, it throws punches with all four arms.
The power of each individual blow is piddly,
so it aims to win by quantity rather than quality."
167,"Spinarak","[""poison"", ""bug""]",5.00,85.00,"[""sniper"", ""insomnia"", ""swarm""]","[""bug""]","{""hp"": 40, ""speed"": 30, ""attack"": 60, ""defense"": 40, ""special-attack"": 40, ""special-defense"": 40}","String Spit PokÃ©mon","Some fishermen weave its sturdy thread into
nets to catch fish PokÃ©mon."
168,"Ariados","[""poison"", ""bug""]",11.00,335.00,"[""sniper"", ""insomnia"", ""swarm""]","[""bug""]","{""hp"": 70, ""speed"": 40, ""attack"": 90, ""defense"": 70, ""special-attack"": 60, ""special-defense"": 70}","Long Leg PokÃ©mon","It spins thread from both its rear and its mouth.
Then it wraps its prey up in thread and sips
their bodily fluids at its leisure."
169,"Crobat","[""flying"", ""poison""]",18.00,750.00,"[""infiltrator"", ""inner-focus""]","[""flying""]","{""hp"": 85, ""speed"": 130, ""attack"": 90, ""defense"": 80, ""special-attack"": 70, ""special-defense"": 80}","Bat PokÃ©mon","Silent and swift in its four-winged flight, it bites
down on its prey before they realize whatâ€™s
happening. In a heartbeat, it drains their blood."
170,"Chinchou","[""electric"", ""water""]",5.00,120.00,"[""water-absorb"", ""illuminate"", ""volt-absorb""]","[""water2""]","{""hp"": 75, ""speed"": 67, ""attack"": 38, ""defense"": 38, ""special-attack"": 56, ""special-defense"": 56}","Angler PokÃ©mon","It lives in the depths beyond the reach of
sunlight. It flashes lights on its antennae
to communicate with others of its kind."
171,"Lanturn","[""electric"", ""water""]",12.00,225.00,"[""water-absorb"", ""illuminate"", ""volt-absorb""]","[""water2""]","{""hp"": 125, ""speed"": 67, ""attack"": 58, ""defense"": 58, ""special-attack"": 76, ""special-defense"": 76}","Light PokÃ©mon","This PokÃ©mon flashes a bright light that blinds
its prey. This creates an opening for it to deliver
an electrical attack."
172,"Pichu","[""electric""]",3.00,20.00,"[""lightning-rod"", ""static""]","[""no-eggs""]","{""hp"": 20, ""speed"": 60, ""attack"": 40, ""defense"": 15, ""special-attack"": 35, ""special-defense"": 35}","Tiny Mouse PokÃ©mon","Despite this PokÃ©monâ€™s cute appearance, those
who want to live with one should prepare to be
on the receiving end of its electric jolts."
173,"Cleffa","[""fairy""]",3.00,30.00,"[""friend-guard"", ""magic-guard"", ""cute-charm""]","[""no-eggs""]","{""hp"": 50, ""speed"": 15, ""attack"": 25, ""defense"": 28, ""special-attack"": 45, ""special-defense"": 55}","Star Shape PokÃ©mon","Because of its silhouette, itâ€™s believed to be a
star reborn. For some reason, it loves Minior."
174,"Igglybuff","[""fairy"", ""normal""]",3.00,10.00,"[""friend-guard"", ""competitive"", ""cute-charm""]","[""no-eggs""]","{""hp"": 90, ""speed"": 15, ""attack"": 30, ""defense"": 15, ""special-attack"": 40, ""special-defense"": 20}","Balloon PokÃ©mon","It moves by bouncing along. As it moves a lot,
it sweats, and its body gives off a sweet aroma."
175,"Togepi","[""fairy""]",3.00,15.00,"[""super-luck"", ""serene-grace"", ""hustle""]","[""no-eggs""]","{""hp"": 35, ""speed"": 20, ""attack"": 20, ""defense"": 65, ""special-attack"": 40, ""special-defense"": 65}","Spike Ball PokÃ©mon","As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and PokÃ©mon.
This PokÃ©mon stores up feelings of happiness inside its shell,
then shares them with others."
176,"Togetic","[""flying"", ""fairy""]",6.00,32.00,"[""super-luck"", ""serene-grace"", ""hustle""]","[""fairy"", ""flying""]","{""hp"": 55, ""speed"": 40, ""attack"": 40, ""defense"": 85, ""special-attack"": 80, ""special-defense"": 105}","Happiness PokÃ©mon","Togetic is said to be a PokÃ©mon that brings good fortune.
When the PokÃ©mon spots someone who is pure of heart,
it is said to appear and share its happiness with that person."
177,"Natu","[""flying"", ""psychic""]",2.00,20.00,"[""magic-bounce"", ""early-bird"", ""synchronize""]","[""flying""]","{""hp"": 40, ""speed"": 70, ""attack"": 50, ""defense"": 45, ""special-attack"": 70, ""special-defense"": 45}","Tiny Bird PokÃ©mon","Natu has a highly developed jumping ability. The PokÃ©mon
flaps and leaps onto tree branches that are taller than
grown-up people to pick at the treeâ€™s new shoots."
178,"Xatu","[""flying"", ""psychic""]",15.00,150.00,"[""magic-bounce"", ""early-bird"", ""synchronize""]","[""flying""]","{""hp"": 65, ""speed"": 95, ""attack"": 75, ""defense"": 70, ""special-attack"": 95, ""special-defense"": 70}","Mystic PokÃ©mon","Xatu is known to stand motionless while staring at the sun all
day long. Some people revere it as a mystical PokÃ©mon out of
their belief that Xatu is in possession of the power to see into
the future."
179,"Mareep","[""electric""]",6.00,78.00,"[""plus"", ""static""]","[""ground"", ""monster""]","{""hp"": 55, ""speed"": 35, ""attack"": 40, ""defense"": 40, ""special-attack"": 65, ""special-defense"": 45}","Wool PokÃ©mon","Mareepâ€™s fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows."
180,"Flaaffy","[""electric""]",8.00,133.00,"[""plus"", ""static""]","[""ground"", ""monster""]","{""hp"": 70, ""speed"": 45, ""attack"": 55, ""defense"": 55, ""special-attack"": 80, ""special-defense"": 60}","Wool PokÃ©mon","Flaaffyâ€™s wool quality changes so that it can generate
a high amount of static electricity with a small amount of
wool. The bare and slick parts of its hide are shielded
against electricity."
181,"Ampharos","[""electric""]",14.00,615.00,"[""plus"", ""static""]","[""ground"", ""monster""]","{""hp"": 90, ""speed"": 55, ""attack"": 75, ""defense"": 85, ""special-attack"": 115, ""special-defense"": 90}","Light PokÃ©mon","Ampharos gives off so much light that it can be seen even from
space. People in the old days used the light of this PokÃ©mon
to send signals back and forth with others far away."
182,"Bellossom","[""grass""]",4.00,58.00,"[""healer"", ""chlorophyll""]","[""plant""]","{""hp"": 75, ""speed"": 50, ""attack"": 80, ""defense"": 95, ""special-attack"": 90, ""special-defense"": 100}","Flower PokÃ©mon","A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloomâ€”the more stinky the better. At night, this
PokÃ©mon closes its petals and goes to sleep."
183,"Marill","[""fairy"", ""water""]",4.00,85.00,"[""sap-sipper"", ""huge-power"", ""thick-fat""]","[""fairy"", ""water1""]","{""hp"": 70, ""speed"": 40, ""attack"": 20, ""defense"": 50, ""special-attack"": 20, ""special-defense"": 50}","Aqua Mouse PokÃ©mon","When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This PokÃ©monâ€™s
tail is flexible and configured to stretch."
184,"Azumarill","[""fairy"", ""water""]",8.00,285.00,"[""sap-sipper"", ""huge-power"", ""thick-fat""]","[""fairy"", ""water1""]","{""hp"": 100, ""speed"": 50, ""attack"": 50, ""defense"": 80, ""special-attack"": 60, ""special-defense"": 80}","Aqua Rabbit PokÃ©mon","Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning PokÃ©mon. The air balloons
enable the PokÃ©mon in trouble to breathe."
185,"Sudowoodo","[""rock""]",12.00,380.00,"[""rattled"", ""rock-head"", ""sturdy""]","[""mineral""]","{""hp"": 70, ""speed"": 30, ""attack"": 100, ""defense"": 115, ""special-attack"": 30, ""special-defense"": 65}","Imitation PokÃ©mon","Apparently, the larger the green parts of this
PokÃ©mon, the more collectors value it. Itâ€™s a
particular favorite among elderly people."
186,"Politoed","[""water""]",11.00,339.00,"[""drizzle"", ""damp"", ""water-absorb""]","[""water1""]","{""hp"": 90, ""speed"": 70, ""attack"": 75, ""defense"": 75, ""special-attack"": 90, ""special-defense"": 100}","Frog PokÃ©mon","Itâ€™s the leader of Poliwag and Poliwhirl.
When Politoed roars, they all cower in fear."
187,"Hoppip","[""flying"", ""grass""]",4.00,5.00,"[""infiltrator"", ""leaf-guard"", ""chlorophyll""]","[""plant"", ""fairy""]","{""hp"": 35, ""speed"": 50, ""attack"": 35, ""defense"": 40, ""special-attack"": 35, ""special-defense"": 55}","Cottonweed PokÃ©mon","This PokÃ©mon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away."
188,"Skiploom","[""flying"", ""grass""]",6.00,10.00,"[""infiltrator"", ""leaf-guard"", ""chlorophyll""]","[""plant"", ""fairy""]","{""hp"": 55, ""speed"": 80, ""attack"": 45, ""defense"": 50, ""special-attack"": 45, ""special-defense"": 65}","Cottonweed PokÃ©mon","Skiploomâ€™s flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this PokÃ©mon
is sometimes used as a thermometer."
189,"Jumpluff","[""flying"", ""grass""]",8.00,30.00,"[""infiltrator"", ""leaf-guard"", ""chlorophyll""]","[""plant"", ""fairy""]","{""hp"": 75, ""speed"": 110, ""attack"": 55, ""defense"": 70, ""special-attack"": 55, ""special-defense"": 95}","Cottonweed PokÃ©mon","Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The PokÃ©mon descends to the ground when it
encounters cold air while it is floating."
190,"Aipom","[""normal""]",8.00,115.00,"[""skill-link"", ""pickup"", ""run-away""]","[""ground""]","{""hp"": 55, ""speed"": 85, ""attack"": 70, ""defense"": 55, ""special-attack"": 40, ""special-defense"": 55}","Long Tail PokÃ©mon","Aipomâ€™s tail ends in a hand-like appendage that can be cleverly
manipulated. However, because the PokÃ©mon uses its tail so
much, its real hands have become rather clumsy."
